NEWID,SIZE,SIZEAM,SIZEAF,SIZEJM,SIZEJF,SIZEIN,EXP,FDHO,FDAW,SHEL,TELE,DOM,TEXT,FURN,MAPP,SAPP,CLOT,FOOT,GASO,TRIP,LOCT,HEAL,ENT,FEES,TOYS,READ,EDUC,TOB,REFAGE,REFEDUC,REFRACE,HHTENURE,HHTYPE
644342,2,0,1,0,1,0,43534,3075,1590,9403,598,3685,75,0,0,0,3055,263,682,892,0,1683,2002,603,295,80,2110,234,38,4,1,1,7
644362,1,0,1,0,0,0,14574,1074,567,5490,432,0,0,90,0,47,651,58,0,0,405,155,563,203,61,123,2486,39,25,4,1,4,8
644402,2,1,1,0,0,0,6471,2041,264,300,336,35,0,0,0,0,48,0,422,0,0,1381,42,42,0,122,0,0,77,3,1,2,1
644432,4,1,1,0,2,0,57500,4940,3822,12031,692,6335,64,867,0,123,2921,422,1750,800,0,1497,3294,652,1257,689,305,0,44,3,1,1,2
644452,1,0,1,0,0,0,8535,2600,300,1874,360,0,0,0,0,0,115,10,441,0,0,548,24,24,0,0,0,377,60,4,1,4,8
644472,5,1,1,3,0,0,85065,8905,1480,15621,333,600,24,0,0,0,1741,122,2590,910,0,7272,4365,2498,858,323,431,0,48,6,1,1,3
644482,4,1,1,1,1,0,22749,4145,1446,5248,468,362,0,0,0,8,515,134,1295,0,0,682,1313,145,411,145,758,0,31,2,1,1,3
644492,2,0,1,1,0,0,10481,1183,12,3850,970,0,0,0,78,28,232,63,795,0,0,-999999,175,25,143,21,5,260,51,2,1,4,7
644502,2,1,1,0,0,0,42094,1074,1073,6650,538,0,96,157,0,82,548,21,2375,0,0,3252,2198,60,309,84,0,0,29,3,1,4,1
644512,1,0,1,0,0,0,24436,1957,2024,7557,480,1264,298,0,0,20,1651,91,655,184,0,1461,3550,3415,0,102,0,533,60,3,1,2,8
644522,2,1,1,0,0,0,27975,4810,375,12128,2837,0,178,0,0,0,518,25,1063,0,0,545,442,0,0,147,0,260,52,1,1,1,9
644532,1,1,0,0,0,0,28347,1422,301,6784,315,0,8,0,0,0,463,68,317,154,20,814,3864,317,2311,115,0,520,43,6,1,1,8
644552,4,1,1,2,0,0,32929,5135,1733,5205,291,260,60,0,0,106,1476,0,1140,0,90,879,1592,326,70,164,1935,533,43,3,2,1,3
644572,2,1,1,0,0,0,20106,2860,1770,4400,30,124,0,0,0,0,300,0,1210,0,0,1806,1371,0,0,0,0,962,52,2,1,4,9
644582,4,1,1,1,0,1,30992,3445,1002,6934,407,3101,141,359,105,108,2100,211,1416,0,0,1569,1352,14,368,36,6,52,25,3,1,4,3
644592,2,1,1,0,0,0,22202,4875,310,1707,378,415,26,1212,100,163,340,25,305,0,0,3798,451,20,65,315,0,325,76,3,1,2,1
644622,2,1,1,0,0,0,17005,2132,75,8145,2110,20,16,0,0,32,573,32,405,0,0,481,492,0,0,40,0,0,63,2,1,4,1
644632,3,1,1,0,0,1,29900,4495,1005,8474,1387,155,210,159,0,25,2487,122,928,432,0,1332,877,145,190,165,150,104,26,4,1,1,2
644642,1,1,0,0,0,0,16871,2535,150,5100,660,392,0,0,0,0,133,40,560,0,5,566,788,180,0,42,0,741,44,3,1,5,8
644652,1,1,0,0,0,0,10790,2600,0,3071,287,95,0,0,0,0,35,0,0,0,45,2648,0,0,0,0,0,104,80,1,2,4,8
